Feature,Importance
legs0_duration,220.76305887382478
legs0_segments0_flightNumber,152.00190819660202
legs0_segments0_duration,149.25390641740523
legs1_duration,136.25671681412496
legs0_segments1_duration,134.53552380390465
legs1_segments0_flightNumber,123.001952093211
miniRules0_monetaryAmount,117.2527349984739
miniRules1_monetaryAmount,112.5046374918893
legs0_segments1_flightNumber,105.50190307368757
totalPrice_bin,95.75367815303616
legs0_segments0_aircraft_code,82.00168354989728
legs0_segments0_departureFrom_airport_iata,80.50274946412537
legs0_segments1_arrivalTo_airport_city_iata,74.25316556252073
corporateTariffCode,72.75277402007487
legs1_segments0_duration,69.0074233377818
legs0_segments0_baggageAllowance_quantity,62.75519906100817
legs0_segments0_marketingCarrier_code,62.25447235698812
legs0_segments1_aircraft_code,60.00212367111817
legs0_segments0_operatingCarrier_code,59.00297578726895
legs1_segments1_duration,50.51641981396824
legs0_segments0_arrivalTo_airport_city_iata,50.50297753477935
frequentFlyer,46.501093253085855
legs1_segments0_aircraft_code,44.252838794491254
total_baggage,43.254674564348534
legs1_segments1_flightNumber,43.00208875956014
legs0_segments0_seatsAvailable,41.75129989936249
legs0_segments0_arrivalTo_airport_iata,39.752389063942246
legs0_segments1_arrivalTo_airport_iata,39.50353539013304
pricingInfo_isAccessTP,37.253549488727
legs0_segments1_departureFrom_airport_iata,34.25357281800825
legs1_segments0_departureFrom_airport_iata,30.503475255565718
taxes_bin,30.25394927780144
legs1_segments0_seatsAvailable,25.251829723769333
legs0_segments2_duration,24.75676111190114
max_baggage,24.006562100257725
legs0_duration_hours,23.766592400614172
legs1_segments0_arrivalTo_airport_city_iata,21.752162770135328
legs1_segments1_aircraft_code,19.252315352554433
legs0_segments1_operatingCarrier_code,16.50283791939728
legs0_segments1_seatsAvailable,16.031440425664186
nationality,15.752661871491
legs0_segments0_cabinClass,15.505189574556425
legs0_segments1_baggageAllowance_quantity,14.51058016042225
legs0_segments1_marketingCarrier_code,14.256131942151114
legs1_duration_hours,14.00770570943132
legs1_segments1_arrivalTo_airport_iata,13.271006838418543
legs1_segments0_marketingCarrier_code,13.252732012129854
legs1_segments0_operatingCarrier_code,13.00410589238163
cancel_fee,12.752539841691032
legs0_segments2_flightNumber,11.750695451075444
has_business,11.257966761244461
miniRules1_statusInfos,11.255587322055362
exchange_fee,11.004254396422766
legs1_segments0_baggageAllowance_quantity,10.75531118013896
legs1_segments1_arrivalTo_airport_city_iata,10.504763011471368
legs1_segments2_arrivalTo_airport_city_iata,10.50435340590775
miniRules0_percentage,9.253139792010188
legs1_segments0_arrivalTo_airport_iata,9.003227953799069
legs0_segments2_aircraft_code,9.002356162527576
legs1_segments1_seatsAvailable,8.755764530505985
legs0_segments1_cabinClass,8.258494718698785
miniRules0_statusInfos,8.256139242323115
legs0_segments2_arrivalTo_airport_city_iata,8.001100247784052
legs1_segments0_cabinClass,6.505316508002579
legs1_segments1_operatingCarrier_code,6.255791356088594
legs0_segments2_operatingCarrier_code,6.252197407651693
legs0_segments0_baggageAllowance_weightMeasurementType,5.756553425453603
legs1_segments1_departureFrom_airport_iata,4.7588581764139235
legs0_segments2_departureFrom_airport_iata,4.502154367684852
legs1_segments1_marketingCarrier_code,4.501711791730486
has_premium,3.2508358008635696
legs1_segments1_cabinClass,3.0177294919267297
legs0_segments2_marketingCarrier_code,3.001892833795864
legs1_segments2_duration,2.5121439723297954
legs1_segments1_baggageAllowance_quantity,2.5026041176752187
miniRules1_percentage,2.2512115858480684
legs1_segments2_flightNumber,2.001101662986912
legs0_segments2_arrivalTo_airport_iata,2.0007759759027977
legs1_segments2_aircraft_code,1.7517111209162977
legs0_segments2_seatsAvailable,1.251077543507563
legs0_segments1_baggageAllowance_weightMeasurementType,1.0082173573318869
legs0_segments2_baggageAllowance_quantity,0.5028801709413528
legs1_segments2_arrivalTo_airport_iata,0.25391080940607935
legs1_segments2_departureFrom_airport_iata,0.2530553818214685
legs1_segments2_baggageAllowance_quantity,0.25236825843603583
legs1_segments1_baggageAllowance_weightMeasurementType,0.25
legs1_segments2_seatsAvailable,0.018849866464734077
is_round_trip,0.012416041688993573
legs0_segments2_cabinClass,0.011121960706077516
legs1_segments2_marketingCarrier_code,0.0037230908637866378
legs1_segments2_cabinClass,0.0021930395159870386
legs1_segments0_baggageAllowance_weightMeasurementType,0.0008328689727932215
legs1_segments2_operatingCarrier_code,3.55483689418179e-06
has_DL,0.0
request_dayofweek,0.0
pricingInfo_passengerCount,0.0
has_AA,0.0
has_BA,0.0
request_month,0.0
request_hour,0.0
has_AF,0.0
legs0_segments2_baggageAllowance_weightMeasurementType,0.0
has_WN,0.0
has_KL,0.0
min_cabin_class,0.0
has_LH,0.0
legs1_segments2_baggageAllowance_weightMeasurementType,0.0
has_UA,0.0
legs0_arr_hour,0.0
legs0_dept_dayofweek,0.0
legs0_dept_hour,0.0
legs0_num_segments,0.0
legs1_num_segments,0.0
legs1_dept_hour,0.0
legs1_arr_hour,0.0
legs1_dept_dayofweek,0.0
