Id,bySelf,companyID,corporateTariffCode,frequentFlyer,nationality,isAccess3D,isVip,legs0_arrivalAt,legs0_departureAt,legs0_duration,legs0_segments0_aircraft_code,legs0_segments0_arrivalTo_airport_city_iata,legs0_segments0_arrivalTo_airport_iata,legs0_segments0_baggageAllowance_quantity,legs0_segments0_baggageAllowance_weightMeasurementType,legs0_segments0_cabinClass,legs0_segments0_departureFrom_airport_iata,legs0_segments0_duration,legs0_segments0_flightNumber,legs0_segments0_marketingCarrier_code,legs0_segments0_operatingCarrier_code,legs0_segments0_seatsAvailable,legs0_segments1_aircraft_code,legs0_segments1_arrivalTo_airport_city_iata,legs0_segments1_arrivalTo_airport_iata,legs0_segments1_baggageAllowance_quantity,legs0_segments1_baggageAllowance_weightMeasurementType,legs0_segments1_cabinClass,legs0_segments1_departureFrom_airport_iata,legs0_segments1_duration,legs0_segments1_flightNumber,legs0_segments1_marketingCarrier_code,legs0_segments1_operatingCarrier_code,legs0_segments1_seatsAvailable,legs0_segments2_aircraft_code,legs0_segments2_arrivalTo_airport_city_iata,legs0_segments2_arrivalTo_airport_iata,legs0_segments2_baggageAllowance_quantity,legs0_segments2_baggageAllowance_weightMeasurementType,legs0_segments2_cabinClass,legs0_segments2_departureFrom_airport_iata,legs0_segments2_duration,legs0_segments2_flightNumber,legs0_segments2_marketingCarrier_code,legs0_segments2_operatingCarrier_code,legs0_segments2_seatsAvailable,legs0_segments3_aircraft_code,legs0_segments3_arrivalTo_airport_city_iata,legs0_segments3_arrivalTo_airport_iata,legs0_segments3_baggageAllowance_quantity,legs0_segments3_baggageAllowance_weightMeasurementType,legs0_segments3_cabinClass,legs0_segments3_departureFrom_airport_iata,legs0_segments3_duration,legs0_segments3_flightNumber,legs0_segments3_marketingCarrier_code,legs0_segments3_operatingCarrier_code,legs0_segments3_seatsAvailable,legs1_arrivalAt,legs1_departureAt,legs1_duration,legs1_segments0_aircraft_code,legs1_segments0_arrivalTo_airport_city_iata,legs1_segments0_arrivalTo_airport_iata,legs1_segments0_baggageAllowance_quantity,legs1_segments0_baggageAllowance_weightMeasurementType,legs1_segments0_cabinClass,legs1_segments0_departureFrom_airport_iata,legs1_segments0_duration,legs1_segments0_flightNumber,legs1_segments0_marketingCarrier_code,legs1_segments0_operatingCarrier_code,legs1_segments0_seatsAvailable,legs1_segments1_aircraft_code,legs1_segments1_arrivalTo_airport_city_iata,legs1_segments1_arrivalTo_airport_iata,legs1_segments1_baggageAllowance_quantity,legs1_segments1_baggageAllowance_weightMeasurementType,legs1_segments1_cabinClass,legs1_segments1_departureFrom_airport_iata,legs1_segments1_duration,legs1_segments1_flightNumber,legs1_segments1_marketingCarrier_code,legs1_segments1_operatingCarrier_code,legs1_segments1_seatsAvailable,legs1_segments2_aircraft_code,legs1_segments2_arrivalTo_airport_city_iata,legs1_segments2_arrivalTo_airport_iata,legs1_segments2_baggageAllowance_quantity,legs1_segments2_baggageAllowance_weightMeasurementType,legs1_segments2_cabinClass,legs1_segments2_departureFrom_airport_iata,legs1_segments2_duration,legs1_segments2_flightNumber,legs1_segments2_marketingCarrier_code,legs1_segments2_operatingCarrier_code,legs1_segments2_seatsAvailable,legs1_segments3_aircraft_code,legs1_segments3_arrivalTo_airport_city_iata,legs1_segments3_arrivalTo_airport_iata,legs1_segments3_baggageAllowance_quantity,legs1_segments3_baggageAllowance_weightMeasurementType,legs1_segments3_cabinClass,legs1_segments3_departureFrom_airport_iata,legs1_segments3_duration,legs1_segments3_flightNumber,legs1_segments3_marketingCarrier_code,legs1_segments3_operatingCarrier_code,legs1_segments3_seatsAvailable,miniRules0_monetaryAmount,miniRules0_percentage,miniRules0_statusInfos,miniRules1_monetaryAmount,miniRules1_percentage,miniRules1_statusInfos,pricingInfo_isAccessTP,pricingInfo_passengerCount,profileId,ranker_id,requestDate,searchRoute,sex,taxes,totalPrice
18144779,True,62840,,,36,False,False,2024-12-19T11:20:00,2024-12-19T06:50:00,02:30:00,32A,SVX,SVX,1.0,0.0,1.0,SVO,02:30:00,1410,SU,SU,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T16:00:00,2024-12-21T15:20:00,02:40:00,320,MOW,SVO,1.0,0.0,1.0,SVX,02:40:00,1413,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,1.0,2800.0,,1.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,16173.0
18144780,True,62840,,,36,False,False,2024-12-19T11:20:00,2024-12-19T06:50:00,02:30:00,32A,SVX,SVX,2.0,0.0,1.0,SVO,02:30:00,1410,SU,SU,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T16:00:00,2024-12-21T15:20:00,02:40:00,320,MOW,SVO,2.0,0.0,1.0,SVX,02:40:00,1413,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,1.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,24983.0
18144781,True,62840,,,36,False,False,2024-12-20T03:45:00,2024-12-19T23:10:00,02:35:00,73H,SVX,SVX,0.0,0.0,1.0,SVO,02:35:00,1416,SU,SU,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T23:50:00,2024-12-21T23:10:00,02:40:00,320,MOW,SVO,0.0,0.0,1.0,SVX,02:40:00,1415,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,1.0,0.0,,0.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,11768.0
18144782,True,62840,,,36,False,False,2024-12-20T03:45:00,2024-12-19T23:10:00,02:35:00,73H,SVX,SVX,1.0,0.0,1.0,SVO,02:35:00,1416,SU,SU,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T23:50:00,2024-12-21T23:10:00,02:40:00,320,MOW,SVO,1.0,0.0,1.0,SVX,02:40:00,1415,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,1.0,2800.0,,1.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,16173.0
18144783,True,62840,,,36,False,False,2024-12-20T03:45:00,2024-12-19T23:10:00,02:35:00,73H,SVX,SVX,2.0,0.0,1.0,SVO,02:35:00,1416,SU,SU,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T23:50:00,2024-12-21T23:10:00,02:40:00,320,MOW,SVO,2.0,0.0,1.0,SVX,02:40:00,1415,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,1.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,24983.0
18144784,True,62840,,,36,False,False,2024-12-19T11:20:00,2024-12-19T06:50:00,02:30:00,32A,SVX,SVX,0.0,0.0,1.0,SVO,02:30:00,1410,SU,SU,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T09:20:00,2024-12-21T08:30:00,02:50:00,32B,MOW,SVO,0.0,0.0,1.0,SVX,02:50:00,1407,SU,SU,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,1.0,0.0,,0.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,11768.0
18144785,True,62840,,,36,False,False,2024-12-19T11:20:00,2024-12-19T06:50:00,02:30:00,32A,SVX,SVX,1.0,0.0,1.0,SVO,02:30:00,1410,SU,SU,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T09:20:00,2024-12-21T08:30:00,02:50:00,32B,MOW,SVO,1.0,0.0,1.0,SVX,02:50:00,1407,SU,SU,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,1.0,2800.0,,1.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,16173.0
18144786,True,62840,,,36,False,False,2024-12-19T11:20:00,2024-12-19T06:50:00,02:30:00,32A,SVX,SVX,2.0,0.0,1.0,SVO,02:30:00,1410,SU,SU,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T09:20:00,2024-12-21T08:30:00,02:50:00,32B,MOW,SVO,2.0,0.0,1.0,SVX,02:50:00,1407,SU,SU,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,1.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,24983.0
18144787,True,62840,,,36,False,False,2024-12-19T12:30:00,2024-12-19T07:50:00,02:40:00,320,SVX,SVX,0.0,0.0,1.0,SVO,02:40:00,1400,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T23:50:00,2024-12-21T23:10:00,02:40:00,320,MOW,SVO,0.0,0.0,1.0,SVX,02:40:00,1415,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,1.0,0.0,,0.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,11768.0
18144788,True,62840,,,36,False,False,2024-12-19T12:30:00,2024-12-19T07:50:00,02:40:00,320,SVX,SVX,1.0,0.0,1.0,SVO,02:40:00,1400,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-21T23:50:00,2024-12-21T23:10:00,02:40:00,320,MOW,SVO,1.0,0.0,1.0,SVX,02:40:00,1415,SU,SU,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,1.0,2800.0,,1.0,1.0,1,3604015,c9373e5f772e43d593dd6ad2fa90f67a,2024-10-29 12:50:42,MOWSVX/SVXMOW,False,1018.0,16173.0
